
time,distance
0.005,30
0.01,36
0.015,36
0.02,36
0.025,42
0.03,42
0.035,48
0.04,42
0.045,48
0.05,48
0.055,48
0.06,48
0.065,54
0.07,54
0.075,54
0.08,60
0.085,60
0.09,60
0.095,60
0.1,66
0.105,66
0.11,72
0.115,66
0.12,72
0.125,78
0.13,78
0.135,78
0.14,78
0.145,84
0.15,78
0.155,78
0.16,90
0.165,84
0.17,84
0.17500000000000002,90
0.18,96
0.185,84
0.19,96
0.195,96
0.2,90
0.20500000000000002,96
0.21,96
0.215,96
0.22,102
0.225,102
0.23,102
0.23500000000000001,102
0.24,108
0.245,108
0.25,114
0.255,114
0.26,114
0.265,120
0.27,120
0.275,120
0.28,114
0.28500000000000003,126
0.29,126
0.295,120
0.3,120
0.305,120
0.31,126
0.315,126
0.32,130
0.325,132
0.33,132
0.335,138
0.34,138
0.34500000000000003,143
0.35000000000000003,138
0.355,138
0.36,144
0.365,144
0.37,144
0.375,150
0.38,144
0.385,150
0.39,150
0.395,156
0.4,156
0.405,150
0.41000000000000003,162
0.41500000000000004,162
0.42,156
0.425,162
0.43,168
0.435,162
0.44,168
0.445,168
0.45,174
0.455,174
0.46,168
0.465,174
0.47000000000000003,180
0.47500000000000003,174
0.48,180
0.485,180
0.49,180
0.495,180
0.5,186
0.505,186
0.51,186
0.515,192
0.52,192
0.525,192
0.53,198
0.535,198
0.54,198
0.545,204
0.55,198
0.555,204
0.56,204
0.5650000000000001,204
0.5700000000000001,210
0.5750000000000001,204
0.58,210
0.585,204
0.59,210
0.595,216
0.6,222
0.605,216
0.61,215
0.615,222
0.62,222
0.625,222
0.63,222
0.635,222
0.64,228
0.645,227
0.65,228
0.655,228
0.66,240
0.665,234
0.67,240
0.675,234
0.68,240
0.685,240
0.6900000000000001,246
0.6950000000000001,246
0.7000000000000001,246
0.705,246
0.71,252
0.715,246
0.72,252
0.725,252
0.73,252
0.735,252
0.74,258
0.745,252
0.75,258
0.755,258
0.76,264
0.765,264
0.77,264
0.775,264
0.78,269
0.785,270
0.79,270
0.795,270
0.8,282
0.805,276
0.81,270
0.8150000000000001,282
0.8200000000000001,282
0.8250000000000001,282
0.8300000000000001,282
0.835,288
0.84,288
0.845,294
0.85,295
0.855,294
0.86,294
0.865,294
0.87,294
0.875,300
0.88,300
0.885,300
0.89,300
0.895,306
0.9,300
0.905,306
0.91,312
0.915,312
0.92,312
0.925,306
0.93,318
0.935,312
0.9400000000000001,318
0.9450000000000001,318
0.9500000000000001,318
0.9550000000000001,324
0.96,324
0.965,324
0.97,324
0.975,324
0.98,324
0.985,330
0.99,330
0.995,330
1.0,330
