time,distance
0.005,36
0.01,36
0.015,36
0.02,42
0.025,42
0.03,42
0.035,48
0.04,48
0.045,42
0.05,48
0.055,54
0.06,54
0.065,60
0.07,54
0.075,60
0.08,54
0.085,54
0.09,54
0.095,60
0.1,60
0.105,66
0.11,66
0.115,66
0.12,72
0.125,78
0.13,78
0.135,72
0.14,78
0.145,84
0.15,84
0.155,84
0.16,90
0.165,84
0.17,84
0.17500000000000002,90
0.18,90
0.185,90
0.19,96
0.195,96
0.2,90
0.20500000000000002,102
0.21,96
0.215,95
0.22,102
0.225,102
0.23,108
0.23500000000000001,102
0.24,108
0.245,108
0.25,102
0.255,120
0.26,114
0.265,108
0.27,114
0.275,114
0.28,120
0.28500000000000003,120
0.29,120
0.295,120
0.3,126
0.305,126
0.31,126
0.315,132
0.32,126
0.325,132
0.33,132
0.335,138
0.34,138
0.34500000000000003,138
0.35000000000000003,144
0.355,138
0.36,144
0.365,150
0.37,144
0.375,150
0.38,150
0.385,150
0.39,156
0.395,156
0.4,150
0.405,156
0.41000000000000003,156
0.41500000000000004,162
0.42,156
0.425,162
0.43,162
0.435,168
0.44,168
0.445,174
0.45,168
0.455,174
0.46,174
0.465,174
0.47000000000000003,174
0.47500000000000003,180
0.48,186
0.485,186
0.49,186
0.495,180
0.5,186
0.505,186
0.51,186
0.515,186
0.52,192
0.525,198
0.53,192
0.535,192
0.54,192
0.545,198
0.55,204
0.555,198
0.56,204
0.5650000000000001,204
0.5700000000000001,204
0.5750000000000001,210
0.58,210
0.585,210
0.59,210
0.595,216
0.6,216
0.605,216
0.61,222
0.615,222
0.62,216
0.625,228
0.63,222
0.635,228
0.64,228
0.645,228
0.65,228
0.655,234
0.66,240
0.665,234
0.67,234
0.675,240
0.68,240
0.685,240
0.6900000000000001,246
0.6950000000000001,246
0.7000000000000001,246
0.705,246
0.71,246
0.715,252
0.72,252
0.725,252
0.73,252
0.735,252
0.74,251
0.745,253
0.75,258
0.755,264
0.76,264
0.765,264
0.77,264
0.775,270
0.78,264
0.785,270
0.79,276
0.795,276
0.8,276
0.805,276
0.81,276
0.8150000000000001,282
0.8200000000000001,276
0.8250000000000001,282
0.8300000000000001,288
0.835,288
0.84,288
0.845,287
0.85,288
0.855,294
0.86,300
0.865,294
0.87,294
0.875,294
0.88,300
0.885,306
0.89,300
0.895,306
0.9,306
0.905,306
0.91,306
0.915,306
0.92,306
0.925,312
0.93,312
0.935,318
0.9400000000000001,318
0.9450000000000001,318
0.9500000000000001,318
0.9550000000000001,324
0.96,330
0.965,324
0.97,330
0.975,324
0.98,324
0.985,330
0.99,330
0.995,330
1.0,330
