time,distance
0.005,36
0.01,36
0.015,36
0.02,42
0.025,42
0.03,36
0.035,48
0.04,42
0.045,42
0.05,48
0.055,54
0.06,54
0.065,54
0.07,60
0.075,60
0.08,60
0.085,60
0.09,60
0.095,66
0.1,66
0.105,66
0.11,72
0.115,72
0.12,72
0.125,72
0.13,78
0.135,78
0.14,78
0.145,84
0.15,72
0.155,84
0.16,84
0.165,84
0.17,90
0.17500000000000002,90
0.18,90
0.185,84
0.19,90
0.195,96
0.2,96
0.20500000000000002,90
0.21,96
0.215,102
0.22,108
0.225,102
0.23,102
0.23500000000000001,108
0.24,102
0.245,102
0.25,102
0.255,114
0.26,108
0.265,114
0.27,114
0.275,120
0.28,120
0.28500000000000003,120
0.29,120
0.295,126
0.3,126
0.305,120
0.31,120
0.315,132
0.32,132
0.325,132
0.33,138
0.335,132
0.34,132
0.34500000000000003,138
0.35000000000000003,144
0.355,138
0.36,144
0.365,144
0.37,144
0.375,150
0.38,150
0.385,150
0.39,156
0.395,156
0.4,150
0.405,150
0.41000000000000003,156
0.41500000000000004,156
0.42,162
0.425,162
0.43,156
0.435,162
0.44,168
0.445,168
0.45,174
0.455,174
0.46,174
0.465,174
0.47000000000000003,180
0.47500000000000003,180
0.48,180
0.485,186
0.49,180
0.495,186
0.5,186
0.505,186
0.51,186
0.515,198
0.52,192
0.525,192
0.53,192
0.535,192
0.54,192
0.545,198
0.55,204
0.555,204
0.56,204
0.5650000000000001,210
0.5700000000000001,204
0.5750000000000001,204
0.58,210
0.585,210
0.59,210
0.595,210
0.6,216
0.605,210
0.61,222
0.615,216
0.62,216
0.625,222
0.63,228
0.635,222
0.64,228
0.645,228
0.65,234
0.655,234
0.66,228
0.665,234
0.67,234
0.675,240
0.68,240
0.685,240
0.6900000000000001,240
0.6950000000000001,240
0.7000000000000001,252
0.705,246
0.71,246
0.715,246
0.72,246
0.725,258
0.73,252
0.735,252
0.74,258
0.745,258
0.75,258
0.755,258
0.76,264
0.765,264
0.77,264
0.775,270
0.78,270
0.785,270
0.79,270
0.795,270
0.8,276
0.805,276
0.81,282
0.8150000000000001,282
0.8200000000000001,282
0.8250000000000001,282
0.8300000000000001,288
0.835,288
0.84,288
0.845,288
0.85,288
0.855,288
0.86,294
0.865,294
0.87,294
0.875,294
0.88,300
0.885,294
0.89,306
0.895,300
0.9,306
0.905,300
0.91,306
0.915,312
0.92,312
0.925,312
0.93,312
0.935,312
0.9400000000000001,318
0.9450000000000001,318
0.9500000000000001,324
0.9550000000000001,324
0.96,324
0.965,324
0.97,324
0.975,324
0.98,330
0.985,330
0.99,330
0.995,336
1.0,342
